ST,State,County State,County,CoC Number,FIPS ID
IN,Indiana,"Union County, Indiana",Union,IN-502,18161
IN,Indiana,"Vanderburgh County, Indiana",Vanderburgh,IN-502,18163
IN,Indiana,"Vermillion County, Indiana",Vermillion,IN-502,18165
IN,Indiana,"Vigo County, Indiana",Vigo,IN-502,18167
IN,Indiana,"Wabash County, Indiana",Wabash,IN-502,18169
IN,Indiana,"Warren County, Indiana",Warren,IN-502,18171
IN,Indiana,"Warrick County, Indiana",Warrick,IN-502,18173
IN,Indiana,"Washington County, Indiana",Washington,IN-502,18175
IN,Indiana,"Wayne County, Indiana",Wayne,IN-502,18177
IN,Indiana,"Wells County, Indiana",Wells,IN-502,18179
IN,Indiana,"White County, Indiana",White,IN-502,18181
IN,Indiana,"Whitley County, Indiana",Whitley,IN-502,18183
IA,Iowa,"Adair County, Iowa",Adair,IA-501,19001
IA,Iowa,"Adams County, Iowa",Adams,IA-501,19003
IA,Iowa,"Allamakee County, Iowa",Allamakee,IA-501,19005
IA,Iowa,"Appanoose County, Iowa",Appanoose,IA-501,19007
IA,Iowa,"Audubon County, Iowa",Audubon,IA-501,19009
IA,Iowa,"Benton County, Iowa",Benton,IA-501,19011
IA,Iowa,"Black Hawk County, Iowa",Black Hawk,IA-501,19013
IA,Iowa,"Boone County, Iowa",Boone,IA-501,19015
IA,Iowa,"Bremer County, Iowa",Bremer,IA-501,19017
IA,Iowa,"Buchanan County, Iowa",Buchanan,IA-501,19019
IA,Iowa,"Buena Vista County, Iowa",Buena Vista,IA-501,19021
IA,Iowa,"Butler County, Iowa",Butler,IA-501,19023
IA,Iowa,"Calhoun County, Iowa",Calhoun,IA-501,19025
IA,Iowa,"Carroll County, Iowa",Carroll,IA-501,19027
IA,Iowa,"Cass County, Iowa",Cass,IA-501,19029
IA,Iowa,"Cedar County, Iowa",Cedar,IA-501,19031
IA,Iowa,"Cerro Gordo County, Iowa",Cerro Gordo,IA-501,19033
IA,Iowa,"Cherokee County, Iowa",Cherokee,IA-501,19035
IA,Iowa,"Chickasaw County, Iowa",Chickasaw,IA-501,19037
IA,Iowa,"Clarke County, Iowa",Clarke,IA-501,19039
IA,Iowa,"Clay County, Iowa",Clay,IA-501,19041
IA,Iowa,"Clayton County, Iowa",Clayton,IA-501,19043
IA,Iowa,"Clinton County, Iowa",Clinton,IA-501,19045
IA,Iowa,"Crawford County, Iowa",Crawford,IA-501,19047
IA,Iowa,"Dallas County, Iowa",Dallas,IA-501,19049
IA,Iowa,"Davis County, Iowa",Davis,IA-501,19051
IA,Iowa,"Decatur County, Iowa",Decatur,IA-501,19053
IA,Iowa,"Delaware County, Iowa",Delaware,IA-501,19055
IA,Iowa,"Des Moines County, Iowa",Des Moines,IA-501,19057
IA,Iowa,"Dickinson County, Iowa",Dickinson,IA-501,19059
IA,Iowa,"Dubuque County, Iowa",Dubuque,IA-501,19061
IA,Iowa,"Emmet County, Iowa",Emmet,IA-501,19063
IA,Iowa,"Fayette County, Iowa",Fayette,IA-501,19065
IA,Iowa,"Floyd County, Iowa",Floyd,IA-501,19067
IA,Iowa,"Franklin County, Iowa",Franklin,IA-501,19069
IA,Iowa,"Fremont County, Iowa",Fremont,IA-501,19071
IA,Iowa,"Greene County, Iowa",Greene,IA-501,19073
IA,Iowa,"Grundy County, Iowa",Grundy,IA-501,19075
IA,Iowa,"Guthrie County, Iowa",Guthrie,IA-501,19077
IA,Iowa,"Hamilton County, Iowa",Hamilton,IA-501,19079
IA,Iowa,"Hancock County, Iowa",Hancock,IA-501,19081
IA,Iowa,"Hardin County, Iowa",Hardin,IA-501,19083
IA,Iowa,"Harrison County, Iowa",Harrison,IA-501,19085
IA,Iowa,"Henry County, Iowa",Henry,IA-501,19087
IA,Iowa,"Howard County, Iowa",Howard,IA-501,19089
IA,Iowa,"Humboldt County, Iowa",Humboldt,IA-501,19091
IA,Iowa,"Ida County, Iowa",Ida,IA-501,19093
IA,Iowa,"Iowa County, Iowa",Iowa,IA-501,19095
IA,Iowa,"Jackson County, Iowa",Jackson,IA-501,19097
IA,Iowa,"Jasper County, Iowa",Jasper,IA-501,19099
IA,Iowa,"Jefferson County, Iowa",Jefferson,IA-501,19101
IA,Iowa,"Johnson County, Iowa",Johnson,IA-501,19103
IA,Iowa,"Jones County, Iowa",Jones,IA-501,19105
IA,Iowa,"Keokuk County, Iowa",Keokuk,IA-501,19107
IA,Iowa,"Kossuth County, Iowa",Kossuth,IA-501,19109
IA,Iowa,"Lee County, Iowa",Lee,IA-501,19111
IA,Iowa,"Linn County, Iowa",Linn,IA-501,19113
IA,Iowa,"Louisa County, Iowa",Louisa,IA-501,19115
IA,Iowa,"Lucas County, Iowa",Lucas,IA-501,19117
IA,Iowa,"Lyon County, Iowa",Lyon,IA-501,19119
IA,Iowa,"Madison County, Iowa",Madison,IA-501,19121
IA,Iowa,"Mahaska County, Iowa",Mahaska,IA-501,19123
IA,Iowa,"Marion County, Iowa",Marion,IA-501,19125
IA,Iowa,"Marshall County, Iowa",Marshall,IA-501,19127
IA,Iowa,"Mills County, Iowa",Mills,IA-501,19129
IA,Iowa,"Mitchell County, Iowa",Mitchell,IA-501,19131
IA,Iowa,"Monona County, Iowa",Monona,IA-501,19133
IA,Iowa,"Monroe County, Iowa",Monroe,IA-501,19135
IA,Iowa,"Montgomery County, Iowa",Montgomery,IA-501,19137
IA,Iowa,"Muscatine County, Iowa",Muscatine,IA-501,19139
IA,Iowa,"O'Brien County, Iowa",O'Brien,IA-501,19141
IA,Iowa,"Osceola County, Iowa",Osceola,IA-501,19143
IA,Iowa,"Page County, Iowa",Page,IA-501,19145
IA,Iowa,"Palo Alto County, Iowa",Palo Alto,IA-501,19147
IA,Iowa,"Plymouth County, Iowa",Plymouth,IA-501,19149
IA,Iowa,"Pocahontas County, Iowa",Pocahontas,IA-501,19151
IA,Iowa,"Polk County, Iowa",Polk,IA-502,19153
IA,Iowa,"Pottawattamie County, Iowa",Pottawattamie,NE-502,19155
IA,Iowa,"Poweshiek County, Iowa",Poweshiek,IA-501,19157
IA,Iowa,"Ringgold County, Iowa",Ringgold,IA-501,19159
IA,Iowa,"Sac County, Iowa",Sac,IA-501,19161
IA,Iowa,"Scott County, Iowa",Scott,IA-501,19163
IA,Iowa,"Shelby County, Iowa",Shelby,IA-501,19165
IA,Iowa,"Sioux County, Iowa",Sioux,IA-501,19167
IA,Iowa,"Story County, Iowa",Story,IA-501,19169
IA,Iowa,"Tama County, Iowa",Tama,IA-501,19171
IA,Iowa,"Taylor County, Iowa",Taylor,IA-501,19173
IA,Iowa,"Union County, Iowa",Union,IA-501,19175
IA,Iowa,"Van Buren County, Iowa",Van Buren,IA-501,19177
IA,Iowa,"Wapello County, Iowa",Wapello,IA-501,19179
IA,Iowa,"Warren County, Iowa",Warren,IA-501,19181
IA,Iowa,"Washington County, Iowa",Washington,IA-501,19183
IA,Iowa,"Wayne County, Iowa",Wayne,IA-501,19185
IA,Iowa,"Webster County, Iowa",Webster,IA-501,19187
IA,Iowa,"Winnebago County, Iowa",Winnebago,IA-501,19189
IA,Iowa,"Winneshiek County, Iowa",Winneshiek,IA-501,19191
IA,Iowa,"Woodbury County, Iowa",Woodbury,IA-500,19193
IA,Iowa,"Worth County, Iowa",Worth,IA-501,19195
IA,Iowa,"Wright County, Iowa",Wright,IA-501,19197
KS,Kansas,"Allen County, Kansas",Allen,KS-507,20001
KS,Kansas,"Anderson County, Kansas",Anderson,KS-507,20003
KS,Kansas,"Atchison County, Kansas",Atchison,KS-507,20005
KS,Kansas,"Barber County, Kansas",Barber,KS-507,20007
KS,Kansas,"Barton County, Kansas",Barton,KS-507,20009
KS,Kansas,"Bourbon County, Kansas",Bourbon,KS-507,20011
KS,Kansas,"Brown County, Kansas",Brown,KS-507,20013
KS,Kansas,"Butler County, Kansas",Butler,KS-507,20015
KS,Kansas,"Chase County, Kansas",Chase,KS-507,20017
KS,Kansas,"Chautauqua County, Kansas",Chautauqua,KS-507,20019
KS,Kansas,"Cherokee County, Kansas",Cherokee,KS-507,20021
KS,Kansas,"Cheyenne County, Kansas",Cheyenne,KS-507,20023
KS,Kansas,"Clark County, Kansas",Clark,KS-507,20025
KS,Kansas,"Clay County, Kansas",Clay,KS-507,20027
KS,Kansas,"Cloud County, Kansas",Cloud,KS-507,20029
KS,Kansas,"Coffey County, Kansas",Coffey,KS-507,20031
KS,Kansas,"Comanche County, Kansas",Comanche,KS-507,20033
KS,Kansas,"Cowley County, Kansas",Cowley,KS-507,20035
KS,Kansas,"Crawford County, Kansas",Crawford,KS-507,20037
KS,Kansas,"Decatur County, Kansas",Decatur,KS-507,20039
KS,Kansas,"Dickinson County, Kansas",Dickinson,KS-507,20041
KS,Kansas,"Doniphan County, Kansas",Doniphan,KS-507,20043
KS,Kansas,"Douglas County, Kansas",Douglas,KS-507,20045
KS,Kansas,"Edwards County, Kansas",Edwards,KS-507,20047
KS,Kansas,"Elk County, Kansas",Elk,KS-507,20049
KS,Kansas,"Ellis County, Kansas",Ellis,KS-507,20051
KS,Kansas,"Ellsworth County, Kansas",Ellsworth,KS-507,20053
KS,Kansas,"Finney County, Kansas",Finney,KS-507,20055
KS,Kansas,"Ford County, Kansas",Ford,KS-507,20057
KS,Kansas,"Franklin County, Kansas",Franklin,KS-507,20059
KS,Kansas,"Geary County, Kansas",Geary,KS-507,20061
KS,Kansas,"Gove County, Kansas",Gove,KS-507,20063
KS,Kansas,"Graham County, Kansas",Graham,KS-507,20065
KS,Kansas,"Grant County, Kansas",Grant,KS-507,20067
KS,Kansas,"Gray County, Kansas",Gray,KS-507,20069
KS,Kansas,"Greeley County, Kansas",Greeley,KS-507,20071
KS,Kansas,"Greenwood County, Kansas",Greenwood,KS-507,20073
KS,Kansas,"Hamilton County, Kansas",Hamilton,KS-507,20075
KS,Kansas,"Harper County, Kansas",Harper,KS-507,20077
KS,Kansas,"Harvey County, Kansas",Harvey,KS-507,20079
KS,Kansas,"Haskell County, Kansas",Haskell,KS-507,20081
KS,Kansas,"Hodgeman County, Kansas",Hodgeman,KS-507,20083
KS,Kansas,"Jackson County, Kansas",Jackson,KS-507,20085
KS,Kansas,"Jefferson County, Kansas",Jefferson,KS-507,20087
KS,Kansas,"Jewell County, Kansas",Jewell,KS-507,20089
KS,Kansas,"Johnson County, Kansas",Johnson,KS-505,20091
KS,Kansas,"Kearny County, Kansas",Kearny,KS-507,20093
KS,Kansas,"Kingman County, Kansas",Kingman,KS-507,20095
KS,Kansas,"Kiowa County, Kansas",Kiowa,KS-507,20097
KS,Kansas,"Labette County, Kansas",Labette,KS-507,20099
KS,Kansas,"Lane County, Kansas",Lane,KS-507,20101
KS,Kansas,"Leavenworth County, Kansas",Leavenworth,KS-507,20103
KS,Kansas,"Lincoln County, Kansas",Lincoln,KS-507,20105
KS,Kansas,"Linn County, Kansas",Linn,KS-507,20107
KS,Kansas,"Logan County, Kansas",Logan,KS-507,20109
KS,Kansas,"Lyon County, Kansas",Lyon,KS-507,20111
KS,Kansas,"Marion County, Kansas",Marion,KS-507,20115
KS,Kansas,"Marshall County, Kansas",Marshall,KS-507,20117
KS,Kansas,"McPherson County, Kansas",McPherson,KS-507,20113
KS,Kansas,"Meade County, Kansas",Meade,KS-507,20119
KS,Kansas,"Miami County, Kansas",Miami,KS-507,20121
KS,Kansas,"Mitchell County, Kansas",Mitchell,KS-507,20123
KS,Kansas,"Montgomery County, Kansas",Montgomery,KS-507,20125
KS,Kansas,"Morris County, Kansas",Morris,KS-507,20127
KS,Kansas,"Morton County, Kansas",Morton,KS-507,20129
KS,Kansas,"Nemaha County, Kansas",Nemaha,KS-507,20131
KS,Kansas,"Neosho County, Kansas",Neosho,KS-507,20133
KS,Kansas,"Ness County, Kansas",Ness,KS-507,20135
KS,Kansas,"Norton County, Kansas",Norton,KS-507,20137
KS,Kansas,"Osage County, Kansas",Osage,KS-507,20139
KS,Kansas,"Osborne County, Kansas",Osborne,KS-507,20141
KS,Kansas,"Ottawa County, Kansas",Ottawa,KS-507,20143
KS,Kansas,"Pawnee County, Kansas",Pawnee,KS-507,20145
KS,Kansas,"Phillips County, Kansas",Phillips,KS-507,20147
KS,Kansas,"Pottawatomie County, Kansas",Pottawatomie,KS-507,20149
KS,Kansas,"Pratt County, Kansas",Pratt,KS-507,20151
KS,Kansas,"Rawlins County, Kansas",Rawlins,KS-507,20153
KS,Kansas,"Reno County, Kansas",Reno,KS-507,20155
KS,Kansas,"Republic County, Kansas",Republic,KS-507,20157
KS,Kansas,"Rice County, Kansas",Rice,KS-507,20159
KS,Kansas,"Riley County, Kansas",Riley,KS-507,20161
KS,Kansas,"Rooks County, Kansas",Rooks,KS-507,20163
KS,Kansas,"Rush County, Kansas",Rush,KS-507,20165
KS,Kansas,"Russell County, Kansas",Russell,KS-507,20167
KS,Kansas,"Saline County, Kansas",Saline,KS-507,20169
KS,Kansas,"Scott County, Kansas",Scott,KS-507,20171
KS,Kansas,"Sedgwick County, Kansas",Sedgwick,KS-502,20173
KS,Kansas,"Seward County, Kansas",Seward,KS-507,20175
KS,Kansas,"Shawnee County, Kansas",Shawnee,KS-503,20177
KS,Kansas,"Sheridan County, Kansas",Sheridan,KS-507,20179
KS,Kansas,"Sherman County, Kansas",Sherman,KS-507,20181
KS,Kansas,"Smith County, Kansas",Smith,KS-507,20183
KS,Kansas,"Stafford County, Kansas",Stafford,KS-507,20185
KS,Kansas,"Stanton County, Kansas",Stanton,KS-507,20187
KS,Kansas,"Stevens County, Kansas",Stevens,KS-507,20189
KS,Kansas,"Sumner County, Kansas",Sumner,KS-507,20191
KS,Kansas,"Thomas County, Kansas",Thomas,KS-507,20193
KS,Kansas,"Trego County, Kansas",Trego,KS-507,20195
KS,Kansas,"Wabaunsee County, Kansas",Wabaunsee,KS-507,20197
KS,Kansas,"Wallace County, Kansas",Wallace,KS-507,20199
KS,Kansas,"Washington County, Kansas",Washington,KS-507,20201
KS,Kansas,"Wichita County, Kansas",Wichita,KS-507,20203
KS,Kansas,"Wilson County, Kansas",Wilson,KS-507,20205
KS,Kansas,"Woodson County, Kansas",Woodson,KS-507,20207
KS,Kansas,"Wyandotte County, Kansas",Wyandotte,MO-605,20209
KY,Kentucky,"Adair County, Kentucky",Adair,KY-500,21001
KY,Kentucky,"Allen County, Kentucky",Allen,KY-500,21003
KY,Kentucky,"Anderson County, Kentucky",Anderson,KY-500,21005
KY,Kentucky,"Ballard County, Kentucky",Ballard,KY-500,21007
KY,Kentucky,"Barren County, Kentucky",Barren,KY-500,21009
KY,Kentucky,"Bath County, Kentucky",Bath,KY-500,21011
KY,Kentucky,"Bell County, Kentucky",Bell,KY-500,21013
KY,Kentucky,"Boone County, Kentucky",Boone,KY-500,21015
KY,Kentucky,"Bourbon County, Kentucky",Bourbon,KY-500,21017
KY,Kentucky,"Boyd County, Kentucky",Boyd,KY-500,21019
KY,Kentucky,"Boyle County, Kentucky",Boyle,KY-500,21021
KY,Kentucky,"Bracken County, Kentucky",Bracken,KY-500,21023
KY,Kentucky,"Breathitt County, Kentucky",Breathitt,KY-500,21025
KY,Kentucky,"Breckinridge County, Kentucky",Breckinridge,KY-500,21027
KY,Kentucky,"Bullitt County, Kentucky",Bullitt,KY-500,21029
KY,Kentucky,"Butler County, Kentucky",Butler,KY-500,21031
KY,Kentucky,"Caldwell County, Kentucky",Caldwell,KY-500,21033
KY,Kentucky,"Calloway County, Kentucky",Calloway,KY-500,21035
KY,Kentucky,"Campbell County, Kentucky",Campbell,KY-500,21037
KY,Kentucky,"Carlisle County, Kentucky",Carlisle,KY-500,21039
KY,Kentucky,"Carroll County, Kentucky",Carroll,KY-500,21041
KY,Kentucky,"Carter County, Kentucky",Carter,KY-500,21043
KY,Kentucky,"Casey County, Kentucky",Casey,KY-500,21045
KY,Kentucky,"Christian County, Kentucky",Christian,KY-500,21047
KY,Kentucky,"Clark County, Kentucky",Clark,KY-500,21049
KY,Kentucky,"Clay County, Kentucky",Clay,KY-500,21051
KY,Kentucky,"Clinton County, Kentucky",Clinton,KY-500,21053
KY,Kentucky,"Crittenden County, Kentucky",Crittenden,KY-500,21055
KY,Kentucky,"Cumberland County, Kentucky",Cumberland,KY-500,21057
KY,Kentucky,"Daviess County, Kentucky",Daviess,KY-500,21059
KY,Kentucky,"Edmonson County, Kentucky",Edmonson,KY-500,21061
KY,Kentucky,"Elliott County, Kentucky",Elliott,KY-500,21063
KY,Kentucky,"Estill County, Kentucky",Estill,KY-500,21065
KY,Kentucky,"Fayette County, Kentucky",Fayette,KY-502,21067
KY,Kentucky,"Fleming County, Kentucky",Fleming,KY-500,21069
KY,Kentucky,"Floyd County, Kentucky",Floyd,KY-500,21071
KY,Kentucky,"Franklin County, Kentucky",Franklin,KY-500,21073
KY,Kentucky,"Fulton County, Kentucky",Fulton,KY-500,21075
KY,Kentucky,"Gallatin County, Kentucky",Gallatin,KY-500,21077
KY,Kentucky,"Garrard County, Kentucky",Garrard,KY-500,21079
KY,Kentucky,"Grant County, Kentucky",Grant,KY-500,21081
KY,Kentucky,"Graves County, Kentucky",Graves,KY-500,21083
KY,Kentucky,"Grayson County, Kentucky",Grayson,KY-500,21085
KY,Kentucky,"Green County, Kentucky",Green,KY-500,21087
KY,Kentucky,"Greenup County, Kentucky",Greenup,KY-500,21089
KY,Kentucky,"Hancock County, Kentucky",Hancock,KY-500,21091
KY,Kentucky,"Hardin County, Kentucky",Hardin,KY-500,21093
KY,Kentucky,"Harlan County, Kentucky",Harlan,KY-500,21095
KY,Kentucky,"Harrison County, Kentucky",Harrison,KY-500,21097
KY,Kentucky,"Hart County, Kentucky",Hart,KY-500,21099
KY,Kentucky,"Henderson County, Kentucky",Henderson,KY-500,21101
KY,Kentucky,"Henry County, Kentucky",Henry,KY-500,21103
KY,Kentucky,"Hickman County, Kentucky",Hickman,KY-500,21105
KY,Kentucky,"Hopkins County, Kentucky",Hopkins,KY-500,21107
KY,Kentucky,"Jackson County, Kentucky",Jackson,KY-500,21109
KY,Kentucky,"Jefferson County, Kentucky",Jefferson,KY-501,21111
KY,Kentucky,"Jessamine County, Kentucky",Jessamine,KY-500,21113
KY,Kentucky,"Johnson County, Kentucky",Johnson,KY-500,21115
KY,Kentucky,"Kenton County, Kentucky",Kenton,KY-500,21117
KY,Kentucky,"Knott County, Kentucky",Knott,KY-500,21119
KY,Kentucky,"Knox County, Kentucky",Knox,KY-500,21121
KY,Kentucky,"Larue County, Kentucky",Larue,KY-500,21123
KY,Kentucky,"Laurel County, Kentucky",Laurel,KY-500,21125
KY,Kentucky,"Lawrence County, Kentucky",Lawrence,KY-500,21127
KY,Kentucky,"Lee County, Kentucky",Lee,KY-500,21129
KY,Kentucky,"Leslie County, Kentucky",Leslie,KY-500,21131
KY,Kentucky,"Letcher County, Kentucky",Letcher,KY-500,21133
KY,Kentucky,"Lewis County, Kentucky",Lewis,KY-500,21135
KY,Kentucky,"Lincoln County, Kentucky",Lincoln,KY-500,21137
KY,Kentucky,"Livingston County, Kentucky",Livingston,KY-500,21139
KY,Kentucky,"Logan County, Kentucky",Logan,KY-500,21141
KY,Kentucky,"Lyon County, Kentucky",Lyon,KY-500,21143
KY,Kentucky,"Madison County, Kentucky",Madison,KY-500,21151
KY,Kentucky,"Magoffin County, Kentucky",Magoffin,KY-500,21153
KY,Kentucky,"Marion County, Kentucky",Marion,KY-500,21155
KY,Kentucky,"Marshall County, Kentucky",Marshall,KY-500,21157
KY,Kentucky,"Martin County, Kentucky",Martin,KY-500,21159
KY,Kentucky,"Mason County, Kentucky",Mason,KY-500,21161
KY,Kentucky,"McCracken County, Kentucky",McCracken,KY-500,21145
KY,Kentucky,"McCreary County, Kentucky",McCreary,KY-500,21147
KY,Kentucky,"McLean County, Kentucky",McLean,KY-500,21149
KY,Kentucky,"Meade County, Kentucky",Meade,KY-500,21163
KY,Kentucky,"Menifee County, Kentucky",Menifee,KY-500,21165
KY,Kentucky,"Mercer County, Kentucky",Mercer,KY-500,21167
KY,Kentucky,"Metcalfe County, Kentucky",Metcalfe,KY-500,21169
KY,Kentucky,"Monroe County, Kentucky",Monroe,KY-500,21171
KY,Kentucky,"Montgomery County, Kentucky",Montgomery,KY-500,21173
KY,Kentucky,"Morgan County, Kentucky",Morgan,KY-500,21175
KY,Kentucky,"Muhlenberg County, Kentucky",Muhlenberg,KY-500,21177
KY,Kentucky,"Nelson County, Kentucky",Nelson,KY-500,21179
KY,Kentucky,"Nicholas County, Kentucky",Nicholas,KY-500,21181
KY,Kentucky,"Ohio County, Kentucky",Ohio,KY-500,21183
KY,Kentucky,"Oldham County, Kentucky",Oldham,KY-500,21185
KY,Kentucky,"Owen County, Kentucky",Owen,KY-500,21187
KY,Kentucky,"Owsley County, Kentucky",Owsley,KY-500,21189
KY,Kentucky,"Pendleton County, Kentucky",Pendleton,KY-500,21191
KY,Kentucky,"Perry County, Kentucky",Perry,KY-500,21193
KY,Kentucky,"Pike County, Kentucky",Pike,KY-500,21195
KY,Kentucky,"Powell County, Kentucky",Powell,KY-500,21197
KY,Kentucky,"Pulaski County, Kentucky",Pulaski,KY-500,21199
KY,Kentucky,"Robertson County, Kentucky",Robertson,KY-500,21201
KY,Kentucky,"Rockcastle County, Kentucky",Rockcastle,KY-500,21203
KY,Kentucky,"Rowan County, Kentucky",Rowan,KY-500,21205
KY,Kentucky,"Russell County, Kentucky",Russell,KY-500,21207
KY,Kentucky,"Scott County, Kentucky",Scott,KY-500,21209
KY,Kentucky,"Shelby County, Kentucky",Shelby,KY-500,21211
KY,Kentucky,"Simpson County, Kentucky",Simpson,KY-500,21213
KY,Kentucky,"Spencer County, Kentucky",Spencer,KY-500,21215
KY,Kentucky,"Taylor County, Kentucky",Taylor,KY-500,21217
KY,Kentucky,"Todd County, Kentucky",Todd,KY-500,21219
KY,Kentucky,"Trigg County, Kentucky",Trigg,KY-500,21221
KY,Kentucky,"Trimble County, Kentucky",Trimble,KY-500,21223
KY,Kentucky,"Union County, Kentucky",Union,KY-500,21225
KY,Kentucky,"Warren County, Kentucky",Warren,KY-500,21227
KY,Kentucky,"Washington County, Kentucky",Washington,KY-500,21229
KY,Kentucky,"Wayne County, Kentucky",Wayne,KY-500,21231
KY,Kentucky,"Webster County, Kentucky",Webster,KY-500,21233
KY,Kentucky,"Whitley County, Kentucky",Whitley,KY-500,21235
KY,Kentucky,"Wolfe County, Kentucky",Wolfe,KY-500,21237
KY,Kentucky,"Woodford County, Kentucky",Woodford,KY-500,21239
LA,Louisiana,"Acadia Parish, Louisiana",Acadia,LA-500,22001
LA,Louisiana,"Allen Parish, Louisiana",Allen,LA-509,22003
LA,Louisiana,"Ascension Parish, Louisiana",Ascension,LA-509,22005
LA,Louisiana,"Assumption Parish, Louisiana",Assumption,LA-509,22007
LA,Louisiana,"Avoyelles Parish, Louisiana",Avoyelles,LA-507,22009
LA,Louisiana,"Beauregard Parish, Louisiana",Beauregard,LA-509,22011
LA,Louisiana,"Bienville Parish, Louisiana",Bienville,LA-502,22013
LA,Louisiana,"Bossier Parish, Louisiana",Bossier,LA-502,22015
LA,Louisiana,"Caddo Parish, Louisiana",Caddo,LA-502,22017
LA,Louisiana,"Calcasieu Parish, Louisiana",Calcasieu,LA-509,22019
LA,Louisiana,"Caldwell Parish, Louisiana",Caldwell,LA-505,22021
LA,Louisiana,"Cameron Parish, Louisiana",Cameron,LA-509,22023
LA,Louisiana,"Catahoula Parish, Louisiana",Catahoula,LA-507,22025
LA,Louisiana,"Claiborne Parish, Louisiana",Claiborne,LA-502,22027
LA,Louisiana,"Concordia Parish, Louisiana",Concordia,LA-507,22029
LA,Louisiana,"De Soto Parish, Louisiana",De Soto,LA-502,22031
LA,Louisiana,"East Baton Rouge Parish, Louisiana",East Baton Rouge,LA-509,22033
LA,Louisiana,"East Carroll Parish, Louisiana",East Carroll,LA-505,22035
LA,Louisiana,"East Feliciana Parish, Louisiana",East Feliciana,LA-509,22037
LA,Louisiana,"Evangeline Parish, Louisiana",Evangeline,LA-500,22039
LA,Louisiana,"Franklin Parish, Louisiana",Franklin,LA-505,22041
LA,Louisiana,"Grant Parish, Louisiana",Grant,LA-507,22043
LA,Louisiana,"Iberia Parish, Louisiana",Iberia,LA-500,22045
LA,Louisiana,"Iberville Parish, Louisiana",Iberville,LA-509,22047
LA,Louisiana,"Jackson Parish, Louisiana",Jackson,LA-505,22049
LA,Louisiana,"Jefferson Davis Parish, Louisiana",Jefferson Davis,LA-509,22053
LA,Louisiana,"Jefferson Parish, Louisiana",Jefferson,LA-503,22051
LA,Louisiana,"Lafayette Parish, Louisiana",Lafayette,LA-500,22055
LA,Louisiana,"Lafourche Parish, Louisiana",Lafourche,LA-509,22057
LA,Louisiana,"LaSalle Parish, Louisiana",LaSalle,LA-507,22059
LA,Louisiana,"Lincoln Parish, Louisiana",Lincoln,LA-505,22061
LA,Louisiana,"Livingston Parish, Louisiana",Livingston,LA-506,22063
LA,Louisiana,"Madison Parish, Louisiana",Madison,LA-505,22065
LA,Louisiana,"Morehouse Parish, Louisiana",Morehouse,LA-505,22067
LA,Louisiana,"Natchitoches Parish, Louisiana",Natchitoches,LA-509,22069
LA,Louisiana,"Orleans Parish, Louisiana",Orleans,LA-503,22071
LA,Louisiana,"Ouachita Parish, Louisiana",Ouachita,LA-505,22073
LA,Louisiana,"Plaquemines Parish, Louisiana",Plaquemines,LA-509,22075
LA,Louisiana,"Pointe Coupee Parish, Louisiana",Pointe Coupee,LA-509,22077
LA,Louisiana,"Rapides Parish, Louisiana",Rapides,LA-507,22079
LA,Louisiana,"Red River Parish, Louisiana",Red River,LA-502,22081
LA,Louisiana,"Richland Parish, Louisiana",Richland,LA-505,22083
LA,Louisiana,"Sabine Parish, Louisiana",Sabine,LA-509,22085
LA,Louisiana,"St. Bernard Parish, Louisiana",St. Bernard,LA-509,22087
LA,Louisiana,"St. Charles Parish, Louisiana",St. Charles,LA-509,22089
LA,Louisiana,"St. Helena Parish, Louisiana",St. Helena,LA-506,22091
LA,Louisiana,"St. James Parish, Louisiana",St. James,LA-509,22093
LA,Louisiana,"St. John the Baptist Parish, Louisiana",St. John the Baptist,LA-509,22095
LA,Louisiana,"St. Landry Parish, Louisiana",St. Landry,LA-500,22097
LA,Louisiana,"St. Martin Parish, Louisiana",St. Martin,LA-500,22099
LA,Louisiana,"St. Mary Parish, Louisiana",St. Mary,LA-500,22101
LA,Louisiana,"St. Tammany Parish, Louisiana",St. Tammany,LA-506,22103
LA,Louisiana,"Tangipahoa Parish, Louisiana",Tangipahoa,LA-506,22105
LA,Louisiana,"Tensas Parish, Louisiana",Tensas,LA-505,22107
LA,Louisiana,"Terrebonne Parish, Louisiana",Terrebonne,LA-509,22109
LA,Louisiana,"Union Parish, Louisiana",Union,LA-505,22111
LA,Louisiana,"Vermilion Parish, Louisiana",Vermilion,LA-500,22113
LA,Louisiana,"Vernon Parish, Louisiana",Vernon,LA-507,22115
LA,Louisiana,"Washington Parish, Louisiana",Washington,LA-506,22117
LA,Louisiana,"Webster Parish, Louisiana",Webster,LA-502,22119
LA,Louisiana,"West Baton Rouge Parish, Louisiana",West Baton Rouge,LA-509,22121
LA,Louisiana,"West Carroll Parish, Louisiana",West Carroll,LA-505,22123
LA,Louisiana,"West Feliciana Parish, Louisiana",West Feliciana,LA-509,22125
LA,Louisiana,"Winn Parish, Louisiana",Winn,LA-507,22127
ME,Maine,"Androscoggin County, Maine",Androscoggin,ME-500,23001
ME,Maine,"Aroostook County, Maine",Aroostook,ME-500,23003
ME,Maine,"Cumberland County, Maine",Cumberland,ME-500,23005
ME,Maine,"Franklin County, Maine",Franklin,ME-500,23007
ME,Maine,"Hancock County, Maine",Hancock,ME-500,23009
ME,Maine,"Kennebec County, Maine",Kennebec,ME-500,23011
